ano,id_eleicao,tipo_eleicao,data_eleicao,sigla_uf,id_municipio,id_municipio_tse,cargo,vagas
2024,619,eleicao ordinaria,2024-10-06,AM,1303502,2712,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303502,2712,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303536,98418,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303536,98418,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303569,98434,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303569,98434,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303601,2372,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303601,2372,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303700,2739,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303700,2739,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303809,2836,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303809,2836,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303908,2755,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303908,2755,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303957,98450,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303957,98450,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1304005,2771,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1304005,2771,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1304062,98477,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1304062,98477,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1304104,2798,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1304104,2798,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1304203,2810,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1304203,2810,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1304237,98515,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1304237,98515,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1304260,98493,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1304260,98493,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1304302,2852,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1304302,2852,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1304401,2879,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1304401,2879,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400027,3042,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400027,3042,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400050,3050,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400050,3050,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400100,3018,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400100,3018,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400159,3077,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400159,3077,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400175,3069,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400175,3069,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400209,3034,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400209,3034,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400233,3000,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400233,3000,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400282,3026,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400282,3026,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400308,3093,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400308,3093,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400407,3115,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400407,3115,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400456,3123,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400456,3123,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400472,3085,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400472,3085,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400506,3131,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400506,3131,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400605,3158,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400605,3158,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400704,3107,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,RR,1400704,3107,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,PA,1500107,4014,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,PA,1500107,4014,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,PA,1500131,4502,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,PA,1500131,4502,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,PA,1500206,4030,vice-prefeito,1
